id,item_id,page_number,title,loc_page_url,image,transcript,generation_review_flags,human_review_required
mss246610044_page_0176,mss246610044,176,"Charles Hamlin Papers: Index-digest of Charles S. Hamlin Diaries, 1887-1936; 1928, Aug. 1 - 1929, Mar. 22",https://www.loc.gov/resource/mss24661m.mss24661-018_0008_0262?sp=176&st=image,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0176.jpg,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0176.txt,,True
mss246610044_page_0177,mss246610044,177,"Charles Hamlin Papers: Index-digest of Charles S. Hamlin Diaries, 1887-1936; 1928, Aug. 1 - 1929, Mar. 22",https://www.loc.gov/resource/mss24661m.mss24661-018_0008_0262?sp=177&st=image,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0177.jpg,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0177.txt,,True
mss246610044_page_0178,mss246610044,178,"Charles Hamlin Papers: Index-digest of Charles S. Hamlin Diaries, 1887-1936; 1928, Aug. 1 - 1929, Mar. 22",https://www.loc.gov/resource/mss24661m.mss24661-018_0008_0262?sp=178&st=image,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0178.jpg,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0178.txt,,True
mss246610044_page_0179,mss246610044,179,"Charles Hamlin Papers: Index-digest of Charles S. Hamlin Diaries, 1887-1936; 1928, Aug. 1 - 1929, Mar. 22",https://www.loc.gov/resource/mss24661m.mss24661-018_0008_0262?sp=179&st=image,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0179.jpg,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0179.txt,,True
mss246610044_page_0180,mss246610044,180,"Charles Hamlin Papers: Index-digest of Charles S. Hamlin Diaries, 1887-1936; 1928, Aug. 1 - 1929, Mar. 22",https://www.loc.gov/resource/mss24661m.mss24661-018_0008_0262?sp=180&st=image,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0180.jpg,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0180.txt,,True
mss246610044_page_0181,mss246610044,181,"Charles Hamlin Papers: Index-digest of Charles S. Hamlin Diaries, 1887-1936; 1928, Aug. 1 - 1929, Mar. 22",https://www.loc.gov/resource/mss24661m.mss24661-018_0008_0262?sp=181&st=image,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0181.jpg,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0181.txt,,True
mss246610044_page_0182,mss246610044,182,"Charles Hamlin Papers: Index-digest of Charles S. Hamlin Diaries, 1887-1936; 1928, Aug. 1 - 1929, Mar. 22",https://www.loc.gov/resource/mss24661m.mss24661-018_0008_0262?sp=182&st=image,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0182.jpg,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0182.txt,,True
mss246610044_page_0183,mss246610044,183,"Charles Hamlin Papers: Index-digest of Charles S. Hamlin Diaries, 1887-1936; 1928, Aug. 1 - 1929, Mar. 22",https://www.loc.gov/resource/mss24661m.mss24661-018_0008_0262?sp=183&st=image,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0183.jpg,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0183.txt,,True
mss246610044_page_0184,mss246610044,184,"Charles Hamlin Papers: Index-digest of Charles S. Hamlin Diaries, 1887-1936; 1928, Aug. 1 - 1929, Mar. 22",https://www.loc.gov/resource/mss24661m.mss24661-018_0008_0262?sp=184&st=image,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0184.jpg,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0184.txt,unclosed_historical_document,True
mss246610044_page_0185,mss246610044,185,"Charles Hamlin Papers: Index-digest of Charles S. Hamlin Diaries, 1887-1936; 1928, Aug. 1 - 1929, Mar. 22",https://www.loc.gov/resource/mss24661m.mss24661-018_0008_0262?sp=185&st=image,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0185.jpg,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0185.txt,unclosed_historical_document,True
